id,Review,Sentiment
1,Spend your money elsewhere.,negative
2,Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,positive
3,The Buffet at Bellagio was far from what I anticipated.,negative
4,"And the drinks are WEAK, people!",negative
5,-My order was not correct.,negative
6,"Also, I feel like the chips are bought, not made in house.",negative
7,After the disappointing dinner we went elsewhere for dessert.,negative
8,The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,positive
9,We won't be returning.,neutral
10,This is my new fav Vegas buffet spot.,positive
11,I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,negative
12,"Very, very sad.",negative
13,"i felt insulted and disrespected, how could you talk and judge another human being like that?",negative
14,"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",negative
15,I'm not impressed with the concept or the food.,negative
16,The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,negative
17,"There is really nothing for me at postinos, hope your experience is better",negative
18,I got food poisoning here at the buffet.,negative
19,They brought a fresh batch of fries and I was thinking yay something warm but no!,neutral
20,"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",negative
21,"Needless to say, I won't be going back anytime soon.",negative
22,This place is disgusting!,negative
23,"Every time I eat here, I see caring teamwork to a professional degree.",positive
24,The RI style calamari was a joke.,negative
25,"However, there was so much garlic in the fondue, it was barely edible.",negative
26,"I could barely stomach the meal, but didn't complain because it was a business lunch.",negative
27,"It was so bad, I had lost the heart to finish it.",negative
28,It also took her forever to bring us the check when we asked for it.,negative
29,We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,negative
30,Disappointing experience.,negative
31,"The food is about on par with Denny's, which is to say, not good at all.",negative
32,"If you want to wait for mediocre food and downright terrible service, then this is the place for you.",negative
33,WAAAAAAyyyyyyyyyy over rated is all I am saying.,negative
34,We won't be going back.,neutral
35,The place was fairly clean but the food simply wasn't worth it.,negative
36,This place lacked style!!,negative
37,"The sangria was about half of a glass wine full and was $12, ridiculous.",negative
38,Don't bother coming here.,negative
39,"The meat was pretty dry, I had the sliced brisket and pulled pork.",negative
40,"The building itself seems pretty neat, the bathroom is pretty trippy, but I wouldn't eat here again.",positive
41,It was equally awful.,negative
42,Probably not in a hurry to go back.,neutral
43,very slow at seating even with reservation.,negative
44,Not good by any stretch of the imagination.,negative
45,The cashew cream sauce was bland and the vegetables were undercooked.,negative
46,"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",negative
47,"It was a bit too sweet, not really spicy enough, and lacked flavor.",negative
48,I was VERY disappointed!!,negative
49,This place is horrible and way overpriced.,negative
50,"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",negative
51,It wasn't busy at all and now we know why.,neutral
52,The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,negative
53,"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",negative
54,Con: spotty service.,negative
55,"The fries were not hot, and neither was my burger.",negative
56,But then they came back cold.,neutral
57,"Then our food came out, disappointment ensued.",negative
58,The real disappointment was our waiter.,negative
59,My husband said she was very rude... did not even apologize for the bad food or anything.,negative
60,The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,neutral
61,"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",negative
62,If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,neutral
63,She was quite disappointed although some blame needs to be placed at her door.,negative
64,After all the rave reviews I couldn't wait to eat here......what a disappointment!,negative
65,Del Taco is pretty nasty and should be avoided if possible.,negative
66,It's NOT hard to make a decent hamburger.,positive
67,But I don't like it.,negative
68,Hell no will I go back,negative
69,We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,positive
70,"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",negative
71,I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,negative
72,The ambiance isn't much better.,negative
73,"Unfortunately, it only set us up for disapppointment with our entrees.",negative
74,The food wasn't good.,negative
75,"Your servers suck, wait, correction, our server Heimer sucked.",negative
76,What happened next was pretty....off putting.,negative
77,"too bad cause I know it's family owned, I really wanted to like this place.",negative
78,Overpriced for what you are getting.,negative
79,I vomited in the bathroom mid lunch.,negative
80,"I kept looking at the time and it had soon become 35 minutes, yet still no food.",negative
81,"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",negative
82,We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,negative
83,Food was below average.,negative
84,It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,neutral
85,"All in all, Ha Long Bay was a bit of a flop.",negative
86,The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,negative
87,Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,neutral
88,"It lacked flavor, seemed undercooked, and dry.",negative
89,It really is impressive that the place hasn't closed down.,positive
90,I would avoid this place if you are staying in the Mirage.,negative
91,The refried beans that came with my meal were dried out and crusty and the food was bland.,negative
92,Spend your money and time some place else.,negative
93,A lady at the table next to us found a live green caterpillar In her salad.,neutral
94,the presentation of the food was awful.,negative
95,I can't tell you how disappointed I was.,negative
96,I think food should have flavor and texture and both were lacking.,negative
97,Appetite instantly gone.,neutral
98,Overall I was not impressed and would not go back.,negative
99,"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",negative
100,"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",negative
